72	113
39	73
197	128
7	21
25	55
119	167
46	80
157	210
4	6
42	76
154	14
118	166
23	53
92	133
4	10
5	15
138	192
35	68
104	148
49	83
64	103
195	240
2	3
84	126
140	195
16	41
1	1
120	85
198	133
143	199
93	134
162	214
31	63
137	62
82	122
47	81
83	123
130	181
4	8
3	5
86	127
139	194
8	25
5	12
76	117
184	233
154	18
5	18
85	73
2	4
94	137
71	111
29	59
21	49
192	236
4	7
185	190
1	2
7	23
8	24
152	207
62	99
29	61
49	85
120	84
133	186
41	75
129	177
91	132
109	17
20	47
53	88
75	116
196	242
147	203
80	114
109	18
8	26
52	83
50	86
88	80
126	174
115	163
90	131
20	46
172	223
39	72
150	170
161	213
22	50
180	229
63	101
194	238
99	142
81	121
24	54
7	22
58	96
84	125
155	205
154	13
18	43
148	204
191	234
165	217
101	144
109	12
95	138
19	44
10	32
33	66
109	14
5	16
94	136
125	173
85	72
59	53
125	172
109	15
116	164
73	115
97	140
183	50
109	13
122	169
110	155
195	241
160	212
44	78
120	83
30	62
132	185
67	107
23	51
141	196
108	154
169	220
65	105
61	98
180	2
4	11
43	77
70	110
129	179
130	183
167	114
63	100
135	189
114	162
151	206
31	64
127	175
73	114
66	106
130	182
15	40
9	31
182	231
193	237
136	190
12	36
158	78
100	143
36	69
184	232
105	149
153	131
57	95
87	128
159	211
175	226
48	82
27	57
8	30
174	225
111	156
60	97
186	120
83	124
137	37
149	181
200	243
49	84
123	170
171	222
11	34
106	151
101	145
173	224
5	13
131	184
98	141
189	43
133	187
90	130
190	207
72	112
30	37
38	71
154	16
113	161
187	120
65	104
4	9
74	47
15	39
164	216
8	29
179	43
154	12
77	118
134	188
153	130
102	146
195	239
117	165
145	201
40	74
144	200
54	89
23	52
178	145
13	37
55	90
78	119
146	202
57	93
106	150
111	157
79	120
8	28
128	176
34	67
163	215
28	58
20	48
93	135
177	228
45	79
68	108
52	85
37	70
154	15
109	16
74	46
29	60
181	42
154	17
170	221
156	208
149	205
112	159
188	120
178	144
176	227
26	56
142	197
129	178
103	147
14	38
64	102
157	209
168	219
167	115
69	109
89	129
20	45
155	181
56	92
142	198
112	85
59	9
57	128
74	127
98	107
146	183
126	29
167	70
169	62
40	94
23	206
128	42
86	205
11	236
157	132
29	191
59	99
143	78
4	63
147	40
48	165
75	242
104	199
29	12
9	2
114	114
36	183
170	150
50	16
181	138
138	29
124	1
115	205
181	175
118	212
117	71
150	56
118	150
52	197
114	238
150	97
186	137
185	165
142	101
186	35
2	132
148	205
124	155
68	92
22	162
18	201
43	48
141	1
150	49
162	140
90	22
52	171
38	90
12	20
97	29
23	123
169	68
156	107
65	28
134	222
196	63
96	79
82	17
98	4
36	29
12	90
195	149
46	154
101	56
163	68
56	14
80	1
112	175
46	100
172	36
126	4
44	171
85	118
44	128
87	189
162	44
142	15
84	13
179	7
59	39
48	229
123	149
55	176
199	163
24	12
104	132
53	56
144	27
66	242
74	59
165	33
173	142
131	112
59	233
111	51
148	59
80	194
72	167
93	4
113	30
70	82
47	49
96	208
64	42
171	163
74	183
162	211
195	71
190	217
105	120
45	188
4	126
61	67
66	86
197	88
135	56
161	223
191	130
192	6
148	105
195	89
130	202
32	61
174	48
38	170
45	155
17	159
12	150
96	65
161	222
31	235
111	43
95	203
36	174
124	152
178	189
198	198
103	15
35	218
118	173
9	144
105	186
23	230
3	49
28	19
11	59
145	234
103	11
72	135
28	172
77	239
62	74
13	195
123	83
143	203
1	132
143	10
11	107
85	105
148	142
64	161
147	78
176	120
1	41
127	140
61	1
58	236
174	208
62	114
131	21
189	240
41	36
75	196
71	5
126	140
47	40
152	228
79	151
163	163
135	120
96	128
64	180
148	186
16	49
81	36
151	45
57	127
36	57
196	27
13	115
163	168
180	6
101	163
84	86
190	198
21	183
11	137
107	186
63	196
98	30
193	136
85	39
15	30
19	109
81	206
136	137
160	222
10	174
199	198
13	110
127	118
15	121
133	68
113	9
7	79
130	142
189	133
42	228
162	121
26	182
100	173
199	2
134	87
17	98
119	217
94	155
26	227
57	49
31	102
71	102
190	1
135	22
154	46
86	16
40	8
189	152
135	198
39	20
60	112
95	197
60	10
198	158
121	83
62	142
32	81
129	242
47	16
167	194
63	82
67	99
162	201
174	235
78	50
59	148
110	106
69	240
150	226
55	38
174	24
190	182
96	139
11	35
111	158
180	230
8	27
138	191
166	218
129	180
6	19
74	45
52	84
107	152
10	33
56	91
5	14
113	160
199	149
7	20
5	17
32	65
57	94
17	42
139	193
191	235
180	1
121	168
124	171
74	48
108	153
51	87
88	154
118	27
37	74
43	82
108	173
97	100
62	182
68	235
48	170
80	64
75	122
133	22
20	121
102	224
107	1
150	21
152	106
127	98
1	65
93	40
95	10
94	153
3	197
198	222
20	164
56	208
168	104
13	48
172	109
45	15
